,name,type,episodes,members,score_members,rating,genre,dates,url
38,Bakumatsu Kikansetsu IrohanihohetoIntrigue in the Bakumatsu: Irohanihoheto,ONA,26.0,34184.0,10452.0,7.14,"['Action', 'Drama', 'Historical', 'Samurai']",        Oct 2006 - Apr 2007,https://myanimelist.net/anime/1576/Bakumatsu_Kikansetsu_Irohanihoheto
39,Black★Rock Shooter (OVA),OVA,1.0,156667.0,97365.0,7.14,"['Action', 'Slice of Life', 'Drama', 'School']",        Jul 2010 - Jul 2010,https://myanimelist.net/anime/7059/Black★Rock_Shooter_OVA
40,Campione!: Matsurowanu Kamigami to Kamigoroshi no MaouCampione!,TV,13.0,264278.0,145477.0,7.14,"['Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Magic', 'Romance']",        Jul 2012 - Sep 2012,https://myanimelist.net/anime/12293/Campione__Matsurowanu_Kamigami_to_Kamigoroshi_no_Maou
41,Chikyuu Bouei Kigyou Dai-Guard,TV,26.0,7075.0,2178.0,7.14,"['Military', 'Sci-Fi', 'Adventure', 'Comedy', 'Mecha']",        Oct 1999 - Mar 2000,https://myanimelist.net/anime/1312/Chikyuu_Bouei_Kigyou_Dai-Guard
42,Chuukan Kanriroku TonegawaMr. Tonegawa: Middle Management Blues,TV,24.0,26907.0,6858.0,7.14,"['Comedy', 'Parody', 'Psychological', 'Drama', 'Seinen']",        Jul 2018 - Dec 2018,https://myanimelist.net/anime/37338/Chuukan_Kanriroku_Tonegawa
43,Digimon Adventure 02 MoviesDigimon: The Movie,Movie,2.0,36977.0,21372.0,7.14,"['Adventure', 'Fantasy', 'Kids', 'Sci-Fi']",        Jul 2000 - Jul 2000,https://myanimelist.net/anime/2962/Digimon_Adventure_02_Movies
44,Doraemon Movie 01: Nobita no KyouryuuDoraemon the Movie: Nobita's Dinosaur,Movie,1.0,3618.0,2087.0,7.14,"['Adventure', 'Comedy']",        Mar 1980 - Mar 1980,https://myanimelist.net/anime/3727/Doraemon_Movie_01__Nobita_no_Kyouryuu
45,Doraemon Movie 32: Nobita to Kiseki no Shima - Animal Adventure,Movie,1.0,2068.0,1099.0,7.14,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Shounen']",        Mar 2012 - Mar 2012,https://myanimelist.net/anime/11053/Doraemon_Movie_32__Nobita_to_Kiseki_no_Shima_-_Animal_Adventure
46,Dororo to HyakkimaruDororo,TV,26.0,8423.0,1768.0,7.14,"['Action', 'Adventure', 'Supernatural']",        Apr 1969 - Sep 1969,https://myanimelist.net/anime/5760/Dororo_to_Hyakkimaru
47,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVAIs It Wrong to Try to Pick Up Girls in a Dungeon?: Is It Wrong to Expect a Hot Spring in a Dungeon?,OVA,1.0,105293.0,52947.0,7.14,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",        Dec 2016 - Dec 2016,https://myanimelist.net/anime/32801/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_OVA
48,Heya Camp△Room Camp,TV,12.0,50671.0,16935.0,7.14,"['Slice of Life', 'Comedy']",        Jan 2020 - Mar 2020,https://myanimelist.net/anime/38476/Heya_Camp△
49,Housekishou Richard-shi no Nazo KanteiThe Case Files of Jeweler Richard,TV,12.0,28829.0,8737.0,7.14,"['Drama', 'Mystery', 'Slice of Life']",        Jan 2020 - Mar 2020,https://myanimelist.net/anime/40230/Housekishou_Richard-shi_no_Nazo_Kantei
