,name,type,episodes,members,score_members,rating,genre,dates,url,rating_type
14612,Kamiusagi Rope x TOHO Cinemas (Movies),Movie,,168.0,,5.373445630306875,"['Comedy', 'Slice of Life']",        Jan 2014 - ,https://myanimelist.net/anime/35312/Kamiusagi_Rope_x_TOHO_Cinemas_Movies,modelled
14613,Kamiusagi Rope x Tokyo Gas,ONA,2.0,156.0,,5.3494731612322575,"['Comedy', 'Slice of Life']",        Sep 2013 - Oct 2013,https://myanimelist.net/anime/35305/Kamiusagi_Rope_x_Tokyo_Gas,modelled
14614,Kamiusagi Rope x Wacoal,ONA,6.0,138.0,,5.309813725284687,"['Slice of Life', 'Comedy']",        Oct 2016 - Sep 2017,https://myanimelist.net/anime/37851/Kamiusagi_Rope_x_Wacoal,modelled
14615,Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,TV,,597.0,,5.783603490645777,"['Slice of Life', 'Comedy']",        Nov 2012 - ,https://myanimelist.net/anime/30151/Kamiusagi_Rope__Warau_Asa_ni_wa_Fukuraitaru_tte_Maji_ssuka,modelled
14616,Kamiwaza Wanda,TV,47.0,459.0,,5.69857122586059,"['Sci-Fi', 'Kids']",        Apr 2016 - Mar 2017,https://myanimelist.net/anime/32568/Kamiwaza_Wanda,modelled
14617,Kamo ga SukiI Like Ducks,ONA,1.0,122.0,,5.269950393774025,"['Comedy', 'Dementia']",        Apr 2017 - Apr 2017,https://myanimelist.net/anime/40202/Kamo_ga_Suki,modelled
14618,Kamotori Gonbee,Movie,1.0,142.0,,5.3190566483787345,['Kids'],        1961 - 1961,https://myanimelist.net/anime/33177/Kamotori_Gonbee,modelled
14619,Kana Kana ka na,Music,1.0,86.0,,5.1568378246667645,"['Music', 'Kids']",        Feb 1978 - Feb 1978,https://myanimelist.net/anime/36294/Kana_Kana_ka_na,modelled
14620,Kana Kana Kazoku,ONA,,237.0,,5.484753959978908,['Comedy'],        Jul 2014 - ,https://myanimelist.net/anime/24977/Kana_Kana_Kazoku,modelled
14621,Kana Kana Kazoku Shorts: Naru Haya Kakusan Kibou,ONA,6.0,178.0,,5.39214912245162,['Comedy'],        Sep 2014 - Sep 2014,https://myanimelist.net/anime/31604/Kana_Kana_Kazoku_Shorts__Naru_Haya_Kakusan_Kibou,modelled
