Unnamed: 0,name,type,episodes,members,score_members,rating,genre,dates,url
46,Chou Denji Robo Combattler V,TV,54.0,2313.0,707.0,6.7,"['Sci-Fi', 'Adventure', 'Mecha', 'Shounen']",        Apr 1976 - May 1977,https://myanimelist.net/anime/1068/Chou_Denji_Robo_Combattler_V
47,Devilman LadyThe Devil Lady,TV,26.0,15780.0,3964.0,6.7,"['Action', 'Psychological', 'Drama', 'Horror']",        Oct 1998 - May 1999,https://myanimelist.net/anime/1629/Devilman_Lady
48,Digimon Universe: Appli MonstersDigimon Universe App Monsters,TV,52.0,9893.0,2781.0,6.7,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Kids', 'Fantasy']",        Oct 2016 - Sep 2017,https://myanimelist.net/anime/33314/Digimon_Universe__Appli_Monsters
49,Fate/Zero: Onegai! Einzbern SoudanshitsuFate/Zero: Please! Einzbern Counseling Room,Special,6.0,28524.0,12412.0,6.7,['Comedy'],        Mar 2012 - Sep 2012,https://myanimelist.net/anime/13263/Fate_Zero__Onegai_Einzbern_Soudanshitsu
0,Mobile Suit Gundam SEED,TV,50.0,130610.0,73998.0,7.81,"['Action', 'Drama', 'Mecha', 'Military', 'Romance', 'Sci-Fi', 'Space']",        Oct 2002 - Sep 2003,https://myanimelist.net/anime/93/Mobile_Suit_Gundam_SEED
1,New Game!!,TV,12.0,170499.0,83195.0,7.82,"['Game', 'Slice of Life', 'Comedy']",        Jul 2017 - Sep 2017,https://myanimelist.net/anime/34914/New_Game
2,New Initial D Movie: Legend 2 - TousouInitial D Legend 2 Racer,Movie,1.0,14735.0,6771.0,7.82,"['Cars', 'Seinen', 'Sports']",        May 2015 - May 2015,https://myanimelist.net/anime/28881/New_Initial_D_Movie__Legend_2_-_Tousou
3,Noragami OVA,OVA,2.0,214349.0,122198.0,7.82,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']",        Feb 2014 - Jul 2014,https://myanimelist.net/anime/20767/Noragami_OVA
4,Saint SeiyaSaint Seiya: Knights of the Zodiac,TV,114.0,128426.0,66434.0,7.82,"['Adventure', 'Fantasy', 'Sci-Fi', 'Shounen']",        Oct 1986 - Apr 1989,https://myanimelist.net/anime/1254/Saint_Seiya
5,Seitokai Yakuindomo OVA,OVA,8.0,97497.0,50039.0,7.82,"['Comedy', 'School', 'Shounen', 'Slice of Life']",        Apr 2011 - Oct 2013,https://myanimelist.net/anime/10119/Seitokai_Yakuindomo_OVA
6,Shokugeki no Souma: Shin no SaraFood Wars! The Fourth Plate,TV,12.0,223578.0,100531.0,7.82,"['Ecchi', 'School', 'Shounen']",        Oct 2019 - Dec 2019,https://myanimelist.net/anime/39940/Shokugeki_no_Souma__Shin_no_Sara
